benchmark,fault_model,fault_id,criterion,iteration,selected_test_count,target_score,achieved_score,triggered,detected,seed
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,30,4,0.875,0.875,False,False,1030
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,31,4,0.875,0.875,True,False,1031
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,32,4,0.875,0.875,True,False,1032
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,33,4,0.875,0.875,True,False,1033
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,34,4,0.875,0.875,False,False,1034
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,35,4,0.875,0.875,True,True,1035
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,36,4,0.875,0.875,False,False,1036
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,37,4,0.875,0.875,False,False,1037
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,38,4,0.875,0.875,False,False,1038
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,39,4,0.875,0.875,False,False,1039
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,40,4,0.875,0.875,True,False,1040
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,41,4,0.875,0.875,True,True,1041
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,42,4,0.875,0.875,True,True,1042
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,43,4,0.875,0.875,True,False,1043
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,44,4,0.875,0.875,True,False,1044
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,45,4,0.875,0.875,False,False,1045
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,46,4,0.875,0.875,True,True,1046
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,47,4,0.875,0.875,False,False,1047
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,48,4,0.875,0.875,True,False,1048
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,49,4,0.875,0.875,True,True,1049
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,50,4,0.875,0.875,False,False,1050
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,51,4,0.875,0.875,False,False,1051
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,52,4,0.875,0.875,False,False,1052
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,53,4,0.875,0.875,True,False,1053
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,54,4,0.875,0.875,False,False,1054
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,55,4,0.875,0.875,False,False,1055
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,56,4,0.875,0.875,False,False,1056
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,57,4,0.875,0.875,True,False,1057
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,58,4,0.875,0.875,False,False,1058
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,59,4,0.875,0.875,False,False,1059
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,60,4,0.875,0.875,True,False,1060
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,61,4,0.875,0.875,True,False,1061
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,62,4,0.875,0.875,False,False,1062
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,63,4,0.875,0.875,True,False,1063
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,64,4,0.875,0.875,False,False,1064
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,65,4,0.875,0.875,False,False,1065
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,66,4,0.875,0.875,True,True,1066
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,67,4,0.875,0.875,False,False,1067
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,68,4,0.875,0.875,True,True,1068
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,69,4,0.875,0.875,False,False,1069
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,70,4,0.875,0.875,False,False,1070
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,71,4,0.875,0.875,False,False,1071
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,72,4,0.875,0.875,True,True,1072
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,73,4,0.875,0.875,False,False,1073
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,74,4,0.875,0.875,False,False,1074
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,75,4,0.875,0.875,False,False,1075
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,76,4,0.875,0.875,False,False,1076
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,77,4,0.875,0.875,False,False,1077
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,78,4,0.875,0.875,False,False,1078
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,79,4,0.875,0.875,True,False,1079
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,80,4,0.875,0.875,True,True,1080
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,81,4,0.875,0.875,True,True,1081
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,82,4,0.875,0.875,False,False,1082
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,83,4,0.875,0.875,True,False,1083
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,84,4,0.875,0.875,False,False,1084
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,85,4,0.875,0.875,True,False,1085
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,86,4,0.875,0.875,True,False,1086
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,87,4,0.875,0.875,False,False,1087
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,88,4,0.875,0.875,True,False,1088
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,89,4,0.875,0.875,True,True,1089
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,90,4,0.875,0.875,True,True,1090
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,91,4,0.875,0.875,False,False,1091
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,92,4,0.875,0.875,True,False,1092
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,93,4,0.875,0.875,True,False,1093
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,94,4,0.875,0.875,True,False,1094
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,95,4,0.875,0.875,True,False,1095
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,96,4,0.875,0.875,False,False,1096
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,97,4,0.875,0.875,True,False,1097
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,98,4,0.875,0.875,True,True,1098
synthetic,hand-crafted,synthetic_grade_boundary_fault,statement,99,4,0.875,0.875,False,False,1099
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,0,4,1.0,1.0,False,False,1000
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,1,4,1.0,1.0,False,False,1001
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,2,4,1.0,1.0,True,False,1002
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,3,4,1.0,1.0,True,True,1003
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,4,4,1.0,1.0,False,False,1004
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,5,4,1.0,1.0,True,True,1005
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,6,4,1.0,1.0,False,False,1006
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,7,4,1.0,1.0,False,False,1007
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,8,4,1.0,1.0,True,False,1008
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,9,4,1.0,1.0,False,False,1009
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,10,4,1.0,1.0,False,False,1010
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,11,4,1.0,1.0,False,False,1011
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,12,4,1.0,1.0,False,False,1012
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,13,4,1.0,1.0,True,True,1013
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,14,4,1.0,1.0,True,False,1014
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,15,4,1.0,1.0,False,False,1015
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,16,4,1.0,1.0,True,True,1016
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,17,4,1.0,1.0,True,True,1017
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,18,4,1.0,1.0,True,False,1018
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,19,4,1.0,1.0,False,False,1019
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,20,4,1.0,1.0,False,False,1020
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,21,4,1.0,1.0,True,False,1021
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,22,4,1.0,1.0,True,False,1022
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,23,4,1.0,1.0,True,True,1023
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,24,4,1.0,1.0,False,False,1024
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,25,4,1.0,1.0,False,False,1025
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,26,4,1.0,1.0,False,False,1026
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,27,4,1.0,1.0,False,False,1027
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,28,4,1.0,1.0,True,True,1028
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,29,4,1.0,1.0,True,False,1029
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,30,4,1.0,1.0,False,False,1030
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,31,4,1.0,1.0,True,False,1031
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,32,4,1.0,1.0,True,False,1032
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,33,4,1.0,1.0,True,False,1033
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,34,4,1.0,1.0,False,False,1034
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,35,4,1.0,1.0,True,True,1035
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,36,4,1.0,1.0,False,False,1036
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,37,4,1.0,1.0,False,False,1037
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,38,4,1.0,1.0,False,False,1038
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,39,4,1.0,1.0,False,False,1039
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,40,4,1.0,1.0,True,False,1040
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,41,4,1.0,1.0,True,True,1041
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,42,4,1.0,1.0,True,True,1042
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,43,4,1.0,1.0,True,False,1043
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,44,4,1.0,1.0,True,False,1044
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,45,4,1.0,1.0,False,False,1045
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,46,4,1.0,1.0,True,True,1046
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,47,4,1.0,1.0,False,False,1047
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,48,4,1.0,1.0,True,False,1048
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,49,4,1.0,1.0,True,True,1049
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,50,4,1.0,1.0,False,False,1050
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,51,4,1.0,1.0,False,False,1051
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,52,4,1.0,1.0,False,False,1052
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,53,4,1.0,1.0,True,False,1053
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,54,4,1.0,1.0,False,False,1054
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,55,4,1.0,1.0,False,False,1055
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,56,4,1.0,1.0,False,False,1056
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,57,4,1.0,1.0,True,False,1057
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,58,4,1.0,1.0,False,False,1058
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,59,4,1.0,1.0,False,False,1059
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,60,4,1.0,1.0,True,False,1060
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,61,4,1.0,1.0,True,False,1061
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,62,4,1.0,1.0,False,False,1062
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,63,4,1.0,1.0,True,False,1063
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,64,4,1.0,1.0,False,False,1064
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,65,4,1.0,1.0,False,False,1065
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,66,4,1.0,1.0,True,True,1066
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,67,4,1.0,1.0,False,False,1067
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,68,4,1.0,1.0,True,True,1068
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,69,4,1.0,1.0,False,False,1069
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,70,4,1.0,1.0,False,False,1070
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,71,4,1.0,1.0,False,False,1071
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,72,4,1.0,1.0,True,True,1072
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,73,4,1.0,1.0,False,False,1073
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,74,4,1.0,1.0,False,False,1074
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,75,4,1.0,1.0,False,False,1075
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,76,4,1.0,1.0,False,False,1076
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,77,4,1.0,1.0,False,False,1077
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,78,4,1.0,1.0,False,False,1078
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,79,4,1.0,1.0,True,False,1079
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,80,4,1.0,1.0,True,True,1080
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,81,4,1.0,1.0,True,True,1081
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,82,4,1.0,1.0,False,False,1082
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,83,4,1.0,1.0,True,False,1083
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,84,4,1.0,1.0,False,False,1084
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,85,4,1.0,1.0,True,False,1085
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,86,4,1.0,1.0,True,False,1086
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,87,4,1.0,1.0,False,False,1087
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,88,4,1.0,1.0,True,False,1088
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,89,4,1.0,1.0,True,True,1089
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,90,4,1.0,1.0,True,True,1090
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,91,4,1.0,1.0,False,False,1091
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,92,4,1.0,1.0,True,False,1092
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,93,4,1.0,1.0,True,False,1093
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,94,4,1.0,1.0,True,False,1094
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,95,4,1.0,1.0,True,False,1095
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,96,4,1.0,1.0,False,False,1096
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,97,4,1.0,1.0,True,False,1097
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,98,4,1.0,1.0,True,True,1098
synthetic,hand-crafted,synthetic_grade_boundary_fault,branch,99,4,1.0,1.0,False,False,1099
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,0,6,0.8571428571428571,0.8571428571428571,True,False,1000
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,1,6,0.8571428571428571,0.8571428571428571,True,False,1001
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,2,4,0.8571428571428571,0.8571428571428571,True,False,1002
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,3,5,0.8571428571428571,0.8571428571428571,True,True,1003
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,4,5,0.8571428571428571,0.8571428571428571,True,False,1004
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,5,5,0.8571428571428571,0.8571428571428571,True,True,1005
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,6,5,0.8571428571428571,0.8571428571428571,True,True,1006
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,7,6,0.8571428571428571,0.8571428571428571,True,True,1007
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,8,5,0.8571428571428571,0.8571428571428571,True,False,1008
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,9,7,0.8571428571428571,0.8571428571428571,True,True,1009
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,10,6,0.8571428571428571,0.8571428571428571,True,False,1010
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,11,6,0.8571428571428571,0.8571428571428571,True,False,1011
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,12,5,0.8571428571428571,0.8571428571428571,True,True,1012
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,13,5,0.8571428571428571,0.8571428571428571,True,True,1013
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,14,5,0.8571428571428571,0.8571428571428571,True,False,1014
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,15,7,0.8571428571428571,0.8571428571428571,True,True,1015
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,16,4,0.8571428571428571,0.8571428571428571,True,True,1016
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,17,4,0.8571428571428571,0.8571428571428571,True,True,1017
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,18,4,0.8571428571428571,0.8571428571428571,True,False,1018
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,19,5,0.8571428571428571,0.8571428571428571,True,False,1019
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,20,6,0.8571428571428571,0.8571428571428571,True,False,1020
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,21,6,0.8571428571428571,0.8571428571428571,True,False,1021
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,22,5,0.8571428571428571,0.8571428571428571,True,False,1022
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,23,5,0.8571428571428571,0.8571428571428571,True,True,1023
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,24,6,0.8571428571428571,0.8571428571428571,True,True,1024
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,25,7,0.8571428571428571,0.8571428571428571,True,True,1025
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,26,6,0.8571428571428571,0.8571428571428571,True,True,1026
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,27,7,0.8571428571428571,0.8571428571428571,True,False,1027
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,28,4,0.8571428571428571,0.8571428571428571,True,True,1028
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,29,5,0.8571428571428571,0.8571428571428571,True,False,1029
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,30,5,0.8571428571428571,0.8571428571428571,True,True,1030
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,31,4,0.8571428571428571,0.8571428571428571,True,False,1031
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,32,4,0.8571428571428571,0.8571428571428571,True,False,1032
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,33,6,0.8571428571428571,0.8571428571428571,True,False,1033
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,34,6,0.8571428571428571,0.8571428571428571,True,False,1034
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,35,5,0.8571428571428571,0.8571428571428571,True,True,1035
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,36,5,0.8571428571428571,0.8571428571428571,True,False,1036
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,37,6,0.8571428571428571,0.8571428571428571,True,True,1037
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,38,5,0.8571428571428571,0.8571428571428571,True,False,1038
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,39,6,0.8571428571428571,0.8571428571428571,True,True,1039
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,40,5,0.8571428571428571,0.8571428571428571,True,False,1040
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,41,5,0.8571428571428571,0.8571428571428571,True,True,1041
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,42,5,0.8571428571428571,0.8571428571428571,True,True,1042
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,43,5,0.8571428571428571,0.8571428571428571,True,False,1043
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,44,5,0.8571428571428571,0.8571428571428571,True,False,1044
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,45,6,0.8571428571428571,0.8571428571428571,True,True,1045
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,46,4,0.8571428571428571,0.8571428571428571,True,True,1046
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,47,7,0.8571428571428571,0.8571428571428571,True,True,1047
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,48,5,0.8571428571428571,0.8571428571428571,True,False,1048
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,49,6,0.8571428571428571,0.8571428571428571,True,True,1049
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,50,5,0.8571428571428571,0.8571428571428571,True,True,1050
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,51,6,0.8571428571428571,0.8571428571428571,True,True,1051
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,52,7,0.8571428571428571,0.8571428571428571,True,False,1052
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,53,4,0.8571428571428571,0.8571428571428571,True,False,1053
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,54,5,0.8571428571428571,0.8571428571428571,True,False,1054
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,55,7,0.8571428571428571,0.8571428571428571,True,False,1055
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,56,5,0.8571428571428571,0.8571428571428571,True,True,1056
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,57,6,0.8571428571428571,0.8571428571428571,True,False,1057
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,58,7,0.8571428571428571,0.8571428571428571,True,False,1058
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,59,6,0.8571428571428571,0.8571428571428571,True,False,1059
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,60,5,0.8571428571428571,0.8571428571428571,True,False,1060
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,61,4,0.8571428571428571,0.8571428571428571,True,False,1061
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,62,7,0.8571428571428571,0.8571428571428571,True,False,1062
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,63,6,0.8571428571428571,0.8571428571428571,True,False,1063
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,64,7,0.8571428571428571,0.8571428571428571,True,False,1064
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,65,6,0.8571428571428571,0.8571428571428571,True,False,1065
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,66,6,0.8571428571428571,0.8571428571428571,True,True,1066
synthetic,hand-crafted,synthetic_grade_boundary_fault,mutation,67,7,0.8571428571428571,0.8571428571428571,True,True,1067
